rank,truth_label,truth_kind,match_type,candidate_stage,candidate_category,review_bucket,visibility,confidence,a_document,a_page,b_document,b_page,a_text_source,b_text_source,a_best_word_count,b_best_word_count,a_ocr_route,b_ocr_route,a_tesseract_attempted,b_tesseract_attempted,a_tesseract_usable,b_tesseract_usable,a_openai_ocr_selected,b_openai_ocr_selected,a_low_information,b_low_information,signals,deterministic_passes,diag_group,diag_emb_score,diag_has_supporting_evidence,diag_has_det_pass_matched,diag_has_non_embedding_signal,diag_has_key_token_signal,diag_key_token_score,diag_has_rare_token_signal,diag_rare_token_score,diag_has_perceptual_support,diag_perceptual_score,diag_has_sequence_signal,diag_sequence_score,diag_same_document,diag_a_best_word_count,diag_b_best_word_count,diag_min_word_count,diag_combined_word_count,diag_matched_passes,diag_non_embedding_signal_names
1691,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,2,source_F_fax_batch/evidence_bundle_partial_0004_excerpt.pdf,1,ocr,ocr,81,74,openai_ocr_fallback,openai_ocr_fallback,True,True,False,False,True,True,False,False,embedding_similarity=0.9581,,unlabeled,0.9581,False,False,False,False,,False,,False,,False,,False,81,74,74,155,,
1692,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,2,source_F_fax_batch/evidence_bundle_partial_0015_full.pdf,2,ocr,ocr,81,78,openai_ocr_fallback,openai_ocr_fallback,True,True,False,False,True,True,False,False,embedding_similarity=0.9570,,unlabeled,0.957,False,False,False,False,,False,,False,,False,,False,81,78,78,159,,
1693,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,2,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,4,ocr,ocr,81,72,openai_ocr_fallback,openai_ocr_fallback,True,True,False,False,True,True,False,False,embedding_similarity=0.9497,,unlabeled,0.9497,False,False,False,False,,False,,False,,False,,True,81,72,72,153,,
1694,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,2,source_F_fax_batch/evidence_bundle_partial_0011_excerpt.pdf,1,ocr,ocr,81,79,openai_ocr_fallback,openai_ocr_fallback,True,True,False,False,True,True,False,False,embedding_similarity=0.9473,,unlabeled,0.9473,False,False,False,False,,False,,False,,False,,False,81,79,79,160,,
1695,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,2,source_A_client_upload/evidence_bundle_partial_0009_full.pdf,3,ocr,ocr,81,80,openai_ocr_fallback,openai_ocr_fallback,True,True,False,False,True,True,False,False,embedding_similarity=0.9454,,unlabeled,0.9454,False,False,False,False,,False,,False,,False,,False,81,80,80,161,,
1696,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,2,source_C_scanned_mail/intake_batch_006.pdf,2,ocr,ocr,81,69,openai_ocr_fallback,openai_ocr_fallback,True,True,False,False,True,True,False,False,embedding_similarity=0.9417,,unlabeled,0.9417,False,False,False,False,,False,,False,,False,,False,81,69,69,150,,
1697,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,2,source_F_fax_batch/evidence_bundle_partial_0004_excerpt.pdf,2,ocr,ocr,81,78,openai_ocr_fallback,openai_ocr_fallback,True,True,False,False,True,True,False,False,embedding_similarity=0.9407,,unlabeled,0.9407,False,False,False,False,,False,,False,,False,,False,81,78,78,159,,
1698,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,3,source_C_scanned_mail/evidence_bundle_partial_0006_full.pdf,6,ocr,ocr,38,32,tesseract_usable,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9466,,unlabeled,0.9466,False,False,False,False,,False,,False,,False,,False,38,32,32,70,,
1699,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,4,source_C_scanned_mail/intake_batch_006.pdf,2,ocr,ocr,72,69,openai_ocr_fallback,openai_ocr_fallback,True,True,False,False,True,True,False,False,embedding_similarity=0.9554,,unlabeled,0.9554,False,False,False,False,,False,,False,,False,,False,72,69,69,141,,
1700,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,4,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,6,ocr,ocr,72,32,openai_ocr_fallback,tesseract_usable,True,True,False,True,True,False,False,False,embedding_similarity=0.9531,,unlabeled,0.9531,False,False,False,False,,False,,False,,False,,True,72,32,32,104,,
1701,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,4,source_F_fax_batch/evidence_bundle_partial_0004_excerpt.pdf,2,ocr,ocr,72,78,openai_ocr_fallback,openai_ocr_fallback,True,True,False,False,True,True,False,False,embedding_similarity=0.9476,,unlabeled,0.9476,False,False,False,False,,False,,False,,False,,False,72,78,72,150,,
1702,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,4,source_F_fax_batch/evidence_bundle_partial_0015_full.pdf,2,ocr,ocr,72,78,openai_ocr_fallback,openai_ocr_fallback,True,True,False,False,True,True,False,False,embedding_similarity=0.9453,,unlabeled,0.9453,False,False,False,False,,False,,False,,False,,False,72,78,72,150,,
1703,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,4,source_A_client_upload/evidence_bundle_partial_0009_full.pdf,4,ocr,ocr,72,73,openai_ocr_fallback,openai_ocr_fallback,True,True,False,False,True,True,False,False,embedding_similarity=0.9451,,unlabeled,0.9451,False,False,False,False,,False,,False,,False,,False,72,73,72,145,,
1704,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,4,source_F_fax_batch/intake_batch_004.pdf,16,ocr,ocr,72,73,openai_ocr_fallback,openai_ocr_fallback,True,True,False,False,True,True,False,False,embedding_similarity=0.9418,,unlabeled,0.9418,False,False,False,False,,False,,False,,False,,False,72,73,72,145,,
1705,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,4,source_A_client_upload/evidence_bundle_partial_0009_full.pdf,3,ocr,ocr,72,80,openai_ocr_fallback,openai_ocr_fallback,True,True,False,False,True,True,False,False,embedding_similarity=0.9415,,unlabeled,0.9415,False,False,False,False,,False,,False,,False,,False,72,80,72,152,,
1706,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,6,source_C_scanned_mail/evidence_bundle_partial_0006_full.pdf,6,ocr,ocr,32,32,tesseract_usable,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9729,,unlabeled,0.9729,False,False,False,False,,False,,False,,False,,False,32,32,32,64,,
1707,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,6,source_A_client_upload/evidence_bundle_partial_0009_full.pdf,6,ocr,ocr,32,32,tesseract_usable,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9684,,unlabeled,0.9684,False,False,False,False,,False,,False,,False,,False,32,32,32,64,,
1708,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,6,source_C_scanned_mail/evidence_bundle_partial_0006_full.pdf,5,ocr,ocr,32,33,tesseract_usable,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9628,,unlabeled,0.9628,False,False,False,False,,False,,False,,False,,False,32,33,32,65,,
1709,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,6,source_E_manual_rescan/evidence_bundle_partial_0005_full.pdf,5,ocr,ocr,32,33,tesseract_usable,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9594,,unlabeled,0.9594,False,False,False,False,,False,,False,,False,,False,32,33,32,65,,
1710,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,6,source_A_client_upload/evidence_bundle_partial_0009_full.pdf,2,ocr,ocr,32,37,tesseract_usable,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9557,,unlabeled,0.9557,False,False,False,False,,False,,False,,False,,False,32,37,32,69,,
1711,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0001_full.pdf,6,source_E_manual_rescan/evidence_bundle_partial_0005_full.pdf,2,ocr,ocr,32,37,tesseract_usable,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9556,,unlabeled,0.9556,False,False,False,False,,False,,False,,False,,False,32,37,32,69,,
1712,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0009_full.pdf,2,source_C_scanned_mail/evidence_bundle_partial_0006_full.pdf,2,ocr,ocr,37,37,tesseract_usable,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9684,,unlabeled,0.9684,False,False,False,False,,False,,False,,False,,False,37,37,37,74,,
1713,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0009_full.pdf,2,source_F_fax_batch/evidence_bundle_partial_0012_excerpt.pdf,1,ocr,ocr,37,38,tesseract_usable,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9601,,unlabeled,0.9601,False,False,False,False,,False,,False,,False,,False,37,38,37,75,,
1714,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0009_full.pdf,2,source_C_scanned_mail/evidence_bundle_partial_0006_full.pdf,6,ocr,ocr,37,32,tesseract_usable,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9571,,unlabeled,0.9571,False,False,False,False,,False,,False,,False,,False,37,32,32,69,,
1715,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0009_full.pdf,2,source_C_scanned_mail/evidence_bundle_partial_0006_full.pdf,3,ocr,ocr,37,38,tesseract_usable,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9559,,unlabeled,0.9559,False,False,False,False,,False,,False,,False,,False,37,38,37,75,,
1716,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0009_full.pdf,2,source_B_email_attachment/evidence_bundle_partial_0007_excerpt.pdf,1,ocr,ocr,37,37,tesseract_usable,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9542,,unlabeled,0.9542,False,False,False,False,,False,,False,,False,,False,37,37,37,74,,
1717,unlabeled,unlabeled,embedding_similarity_candidate,vector_recall,semantic_recall,possible_duplicate,secondary_review,0.94,source_A_client_upload/evidence_bundle_partial_0009_full.pdf,2,source_F_fax_batch/evidence_bundle_partial_0015_full.pdf,5,ocr,ocr,37,33,tesseract_usable,tesseract_usable,True,True,True,True,False,False,False,False,embedding_similarity=0.9532,,unlabeled,0.9532,False,False,False,False,,False,,False,,False,,False,37,33,33,70,,
